0.086368	0.086368	
0.533913	0.533913	
1.829437	1.829437	
2.245575	2.245575	
3.501841	3.501841	
3.965089	3.965089	
4.789514	4.789514	
5.221355	5.221355	
5.661048	5.661048	
6.501176	6.501176	
6.940869	6.940869	
7.357007	7.357007	
8.644680	8.644680	
9.076521	9.076521	
10.372045	10.372045	
10.819590	10.819590	
11.659718	11.659718	
12.099411	12.099411	
12.546956	12.546956	
13.379232	13.379232	
13.818925	13.818925	
14.219360	14.219360	
15.522735	15.522735	
15.931022	15.931022	
17.242249	17.242249	
17.666239	17.666239	
18.514219	18.514219	
18.938208	18.938208	
19.370050	19.370050	
20.210177	20.210177	
20.665574	20.665574	
21.097415	21.097415	
22.369384	22.369384	
22.801226	22.801226	
24.081047	24.081047	
24.528591	24.528591	
25.376571	25.376571	
25.800561	25.800561	
26.216699	26.216699	
27.088233	27.088233	
