0.040812	0.040812	
0.423669	0.423669	
0.808470	0.808470	
1.189384	1.189384	
1.383727	1.383727	
1.570297	1.570297	
1.949268	1.949268	
2.336012	2.336012	
2.718869	2.718869	
3.099782	3.099782	
3.484583	3.484583	
3.867440	3.867440	
4.248354	4.248354	
4.434924	4.434924	
4.627324	4.627324	
5.010181	5.010181	
5.391095	5.391095	
5.775896	5.775896	
6.162640	6.162640	
6.444438	6.444438	
6.734010	6.734010	
7.109094	7.109094	
7.493894	7.493894	
7.684351	7.684351	B
9.211893	9.211893	
9.505352	9.505352	
9.791037	9.791037	
10.170007	10.170007	
10.552864	10.552864	
10.745265	10.745265	
12.276693	12.276693	
12.659550	12.659550	
13.038521	13.038521	
13.425265	13.425265	
13.611835	13.611835	
13.800348	13.800348	
14.187092	14.187092	
14.568006	14.568006	
14.950863	14.950863	
15.329833	15.329833	
15.710747	15.710747	
16.097491	16.097491	
16.480348	16.480348	
16.666918	16.666918	
16.861262	16.861262	
17.238289	17.238289	
17.623089	17.623089	
18.004003	18.004003	
18.388803	18.388803	
18.964061	18.964061	
19.537375	19.537375	
21.061030	21.061030	
21.443887	21.443887	
22.023031	22.023031	
22.592458	22.592458	
24.123887	24.123887	
